achievements_title;Milestones
ach_itsy_bitsy_desc;Use a Contracting Orb to shrink yourself.
ach_itsy_bitsy_name;Itsy Bitsy
ach_jackpot_desc;Win big on The Merchant's slot machine.
ach_jackpot_name;Jackpot!
ach_jingleheimer_schmidt_desc;Carry more than twenty keys during a single delve.
ach_jingleheimer_schmidt_name;Jingleheimer Schmidt
ach_laid_to_rest_desc;Complete 3 unique sealed soul delves.
ach_laid_to_rest_name;Laid to Rest
ach_lost_levels_desc;Discover a hidden floor.
ach_lost_levels_name;Lost Levels
ach_master_of_unlocking_desc;Open 250 chests
ach_master_of_unlocking_name;Master of Unlocking
ach_merchant_shop_boycott_desc;Escape the Ancient Dungeon without entering a shop.
ach_merchant_shop_boycott_name;Merchant Shop Boycott
ach_merciless_killer_desc;Fully augment the Assassin's Armament.
ach_merciless_killer_name;Merciless Killer
ach_mind_if_we_pop_in_desc;Overcome a Challenge Chest's trial.
ach_mind_if_we_pop_in_name;Mind If We Pop In?
ach_model_adventurer_desc;Escape The Ancient Dungeon with a difficulty modifier of 3.00
ach_model_adventurer_name;Model Adventurer
ach_model_explorer_desc;Escape The Ancient Dungeon with a difficulty modifier of 2.25
ach_model_explorer_name;Model Explorer
ach_mosquito_bite_desc;Damage The Beast for the first time
ach_mosquito_bite_name;Mosquito Bite
ach_overstuffed_desc;Eat every tier of food during a single delve.
ach_overstuffed_name;Overstuffed
ach_quick_like_a_bunny_desc;Escape the Ancient Dungeon in under twenty minutes.
ach_quick_like_a_bunny_name;Quick Like A Bunny
ach_reliquary_carry_desc;Collect more than 30 relics in a single run.
ach_reliquary_carry_name;Reliquary Carry
ach_risky_bossness_desc;Challenge and destroy a boss with only a half-heart of health
ach_risky_bossness_name;Risky Boss-ness
ach_savage_soldier_desc;Fully augment the Mercenary's Armament.
ach_savage_soldier_name;Savage Soldier
ach_shiney_slimey_desc;Defeat a Golden Slime.
ach_shiney_slimey_name;Shiney Slimey
ach_show_off_desc;Escape the dungeon without obtaining any upgrade items.
ach_show_off_name;Show Off
ach_spoilsport_desc;Defeat a boss enemy with a single strike.
ach_spoilsport_name;Spoilsport
ach_surprise_teeth_desc;Defeat a Chest Mimic.
ach_surprise_teeth_name;Surprise! Teeth!
ach_they_belong_in_a_museum_desc;Collect more than 500 relics in total.
ach_they_belong_in_a_museum_name;They Belong in a Museum!
ach_the_anosmic_desc;Traverse The Noxious Sewers without taking any damage.
ach_the_anosmic_name;The Anosmic
ach_the_caretaker_desc;Traverse The Beast's Cradle without taking any damage.
ach_the_caretaker_name;The Caretaker
ach_the_delver_desc;Traverse The Infested Dungeon without taking any damage.
ach_the_delver_name;The Delver
ach_the_gatekeeper_desc;Traverse The Overgrown Gatehouse without taking any damage.
ach_the_gatekeeper_name;The Gatekeeper
ach_the_librarian_desc;Traverse The Forgotten Library without taking any damage.
ach_the_librarian_name;The Librarian
ach_the_miner_desc;Traverse The Gloaming Mines without taking any damage.
ach_the_miner_name;The Miner
ach_the_spelunker_desc;Traverse The Luminous Depths without taking any damage.
ach_the_spelunker_name;The Spelunker
ach_try_harder_desc;Escape The Ancient Dungeon after re-entering twice.
ach_try_harder_name;Try Harder
ach_try_hard_desc;Escape The Ancient Dungeon after re-entering once.
ach_try_hard_name;Try Hard
ach_try_hard_with_a_vengeance_desc;Escape The Ancient Dungeon after re-entering three times.
ach_try_hard_with_a_vengeance_name;Try Hard with a Vengeance
ach_unerring_daring_desc;Strike enemies with a ranged weapon twenty-five times in a row without missing.
ach_unerring_daring_name;Unerring Daring
ach_unsealed_souls_desc;Complete the delve of every Sealed Soul.
ach_unsealed_souls_name;Unsealed Souls
ach_un_parry_leled_desc;Defeat a Possessed Armor.
ach_un_parry_leled_name;Un-parry-leled
ach_ur2op_desc;Acquire three highly powerful items during a single delve.
ach_ur2op_name;UR2OP
ach_wanderlust_desc;Explore two hundred fifty rooms within The Ancient Dungeon.
ach_wanderlust_name;Wanderlust
ach_you_break_it_you_buy_it_desc;Lower your merchant discount to -100%.
ach_you_break_it_you_buy_it_name;You Break It, You Buy It
ach_you_have_a_problem_desc;Use a Bandit Box at least twenty times during a single delve.
ach_you_have_a_problem_name;You Have A Problem
acolyte_unlocked_hardmode;Unlocked hard mode in the run preparation screen!
acolyte_unlocked_insight_shop;Unlocked the Insight Shop!<br><br>Find it next to the Acolyte.
alchemist_delve_desc;The Alchemist concocted elixirs of terrible power. They will be your only defense within the dungeon.
alchemist_delve_name;The Alchemist's Delve
apply;Apply
apply_changes;Apply Changes
ascetic_delve_desc;The Ascetic believed in strength through deprivation. The dungeon will leave you with empty hands.
ascetic_delve_name;The Ascetic's Delve
back;Back
bc_beast_3_bestiary_name;<color=#ff0000>(Boss)</color> The Beast
beasts_cradle;The Beast's Cradle
beasts_cradle_text;I fear I am at my end.<br><br>For all my desperate wandering, I believe I have only ventured deeper into this labyrinth, possibly to its very heart. I can feel a terrible presence here, pressing at the back of my mind, pressing me towards it.<br><br>I have resisted, but now the promise of rest seems a greater gift than life itself. The Child hungers, and must be fed.<br><br>To any who find these writings, I wish you a better fate than my own.
beasts_cradle_title;Beast's Cradle
beast_blood_shop_augment_weapon;Augment Weapon
beast_blood_shop_desc;Improve your weapon by augmenting it with the blood of the beast
beast_blood_shop_subtitle;All of the blacksmith's weapons can be augmented using Beast Blood, which can be acquired by defeating the Beast.
beast_blood_shop_title;Weapon Augmentation
berserker_delve_desc;The Berserker exulted in death and danger. The dungeon will have an increased enemy count.
berserker_delve_name;The Berserker's Delve
biologist_delve_desc;The Biologist delighted in observing all creatures. The dungeon will contain a menagerie.
biologist_delve_name;The Biologist's Delve
blacksmith_unlocked_augmentshop;Unlocked Weapon Augmentation at the blacksmith's anvil!
blacksmith_unlocked_crossbow;Unlocked the Crossbow & Dagger Weapon Combo!
blacksmith_unlocked_tome;Unlocked the Tome & Wand Weapon Combo!
boss_Armored Wight;Armored Wight
boss_corrupted shopkeeper;Corrupted Shopkeeper
boss_crystal_prisom_bestiary_name;<color=#ff0000>(Boss)</color> Crystal Prisom
boss_Deranged Adventurer;Deranged Adventurer
boss_deranged_adventurer_bestiary_name;<color=#ff0000>(Boss)</color> Deranged Adventurer
boss_DoomShroom;DoomShroom
boss_doomshroom_bestiary_name;<color=#ff0000>(Boss)</color> Doomshroom
boss_Elder Skeleton;Elder Skeleton
boss_fight_announcement;Boss Fight!
boss_fly_hive_bestiary_name;<color=#ff0000>(Boss)</color> The Swarm
boss_King Slime;King Slime
boss_king_slime_bestiary_name;<color=#ff0000>(Boss)</color> King Slime
boss_Rabid Bestiary;Rabid Bestiary
boss_rabid_bestiary_bestiary_name;<color=#ff0000>(Boss)</color> Rabid Bestiary
boss_stone_skeleton_bestiary_name;<color=#ff0000>(Boss)</color> Elder Skeleton
buy;Buy
buy_item_cant_afford;Can't afford item
buy_item_free;Free!
buy_item_press_trigger;Press Trigger to buy
cancel;Cancel
cant_save_console_used;Console was used, saving is not possible!
cant_teleport_in_boss_fight;Can't teleport. Boss fight is active!
cant_teleport_player_in_menu;Can't teleport. Player is in menu!
cant_teleport_player_is_dead;Can't teleport. Player is dead!
cartographer_delve_desc;The Cartographer thrilled in walking untrodden paths. The dungeon will be a lot larger than usual.
cartographer_delve_name;The Cartographer's Delve
changelog;<color=orange>ea0.1.3.5</color><br>- 4 new milestones<br>- 8 new items<br>- hard mode modifiers<br>- a few new rooms<br><br><color=orange>ea0.1.3.0</color><br>- 24 new journal pages to discover, 8 new items<br><br><color=orange>ea0.1.2.0</color><br>- the game now runs on OpenXR<br>- tons of performance improvements, bugfixes and optimizations<br>- new insight system<br>- new settings menu<br>- shadow support (PCVR only)
changelog_hint;(for a full list, refer to the patchnotes outside the game)
changelog_title;Changelog
choose_a_category;Choose a category
close;Close
coins;Coins
compendium_monsters;Monsters
compendium_relics;Relics
configure;Configure
connect;Connect
continue;Continue
continue_last_run_dungeon;Continue Saved Dungeon Run
continue_last_run_arena;Continue Saved Arena Run
credits;Credits
credits_a_game_by;A game by
credits_kickstarter;Thanks to all kickstarter supporters that made this game possible!
credits_main_development;Main Development
credits_music;<color=#e62>Music</color><br>Elben Schutte &<br>Daniel Caleb
credits_narrative;<color=#e62>Narrative Design</color><br>Christopher Walton
credits_programming;<color=#e62>Programming</color><br>Thom de Meulder &<br>Sebastian Wrobel
credits_sound;<color=#e62>Sound</color><br>Damon McKenzie
credits_thanks;Thanks to the ADVR discord moderators, testers and everyone that helped out!
crossbowdagger_combo_name;Crossbow & Dagger
crossbowdagger_primary_crit_stat_name;Cbow Crit
crossbowdagger_primary_damage_stat_name;Cbow Dmg
crossbowdagger_primary_name;Cbow
crossbowdagger_secondary_crit_stat_name;Dagger Crit
crossbowdagger_secondary_damage_stat_name;Dagger Dmg
crossbowdagger_secondary_name;Dagger
disabled;Disabled
disconnect;Disconnect
dominant_hand;Dominant Hand
done;Done
dungeon_approach;The Dungeon Approach
enabled;Enabled
enemy_bc_skull_darkness_bestiary_name;Skull of Darkness
enemy_bg_plant_rotten_bestiary_name;Jade Bloom
enemy_bg_poison_spitter_bestiary_name;Noxious Spout
enemy_bg_slime_rotten_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Aberant Glow Slime
enemy_chest_mimic_bestiary_name;Mimic
enemy_corrupted_shopkeeper_bestiary_name;The Shopkeeper
enemy_fg_book_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Tome of Wizardry
enemy_fg_book_bestiary_name;Tome of Magic
enemy_fg_book_exploding_bestiary_name;Tome of Sorcery
enemy_fg_elemental_magic_bestiary_name;Forgotten Elemental
enemy_fg_possessed_armor_bestiary_name;Possessed Armor
enemy_fg_slime_phase_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Orange Zip Slime
enemy_fg_slime_phase_bestiary_name;Forgotten Zip Slime
enemy_fg_targeting_beam_bestiary_name;Forgotten Prizm
enemy_fg_wisp_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Purple Wisp
enemy_fg_wisp_bestiary_name;Forgotten Wisp
enemy_gm_possessed_skull_bestiary_name;Gloaming Skull
enemy_gm_rock_elemental_bestiary_name;Gloaming Elemental
enemy_gm_sentryplant_bestiary_name;Gloaming Sprig
enemy_gm_skeleton_bestiary_name;Gloaming Skeleton
enemy_gm_skeleton_miner_bestiary_name;Gloaming Skeleton Miner
enemy_gm_slime_bone_bestiary_name;Gloaming Glob Burster
enemy_gm_slime_stone_bestiary_name;Gloaming Glob Spiker
enemy_id_goo_exploding_bestiary_name;Exploding Goo
enemy_id_maggot_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Infested Bomb Grub
enemy_id_maggot_bestiary_name;Infested Grub
enemy_id_mushroom_rotten_bestiary_name;Infested Shroom
enemy_id_possessed_axe_bestiary_name;Possessed Axe
enemy_id_slime_bestiary_name;Infested Slime
enemy_id_slime_big_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Infested Great Slime
enemy_id_slime_bullet_bestiary_name;Infested Gob Slime
enemy_id_wight_bestiary_name;Infested Zombie Lunger
enemy_invincibility_tome_bestiary_name;Invincibility Tome
enemy_ld_crystal_elemental_bestiary_name;Luminous Elemental
enemy_ld_fat_crystal_slime_bestiary_name;Luminous Great Slime
enemy_ld_plant_crystal_bestiary_name;Luminous Bloom
enemy_ld_possessed_skull_bestiary_name;Luminous Skull
enemy_ld_rotatingbeam_bestiary_name;Luminous Prizm
enemy_ld_sentryplant_bestiary_name;Luminous Blossom
enemy_ld_skeleton_bestiary_name;Luminous Skeleton
enemy_ld_slime_crystal_bestiary_name;Luminous Glob Burster
enemy_ns_fly_bestiary_name;Fly
enemy_ns_fly_hive_bestiary_name;Fly Hive
enemy_ns_maggot_bestiary_name;Noxious Grub
enemy_ns_slime_bestiary_name;Noxious Puddle Slime
enemy_ns_slime_rotten_bestiary_name;Noxious Slime
enemy_ns_slime_tiny_bestiary_name;Noxious Smol Slime
enemy_ns_wight_drowned_bestiary_name;Noxious Drowned Zombie
enemy_og_bat_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Overgrown Bounce Bat
enemy_og_bat_bestiary_name;Overgrown Bat
enemy_og_plant_4x_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Azure Bloom
enemy_og_plant_4x_bestiary_name;Scarlet Bloom
enemy_og_plant_homing_bestiary_name;Violet Bloom
enemy_og_slime_armored_bestiary_name;Overgrown Armor Slime
enemy_og_slime_bestiary_name;Overgrown Slime
enemy_og_slime_big_bestiary_name;Overgrown Great Slime
enemy_og_slime_bullet_abberrant_bestiary_name;<color=#ff99ff>(Aberrant) </color> Aberant Gob Slime
enemy_og_slime_bullet_bestiary_name;Overgrown Gob Slime
enemy_og_wight_advanced_bestiary_name;Overgrown Zombie Lunger
enemy_og_wight_bestiary_name;Overgrown Zombie
enemy_og_wight_crawling_bestiary_name;Overgrown Zombie Crawler
enemy_poi_poison_sentry_bestiary_name;Noxious Sprig
enemy_shopkeeper_corrupted_mask_bestiary_name;Possessed Mask
enemy_slime_golden_bestiary_name;Golden Slime <color=#d4af37>(Special)</color>
erthu_chrwa_abacus_bead_desc;Ranged strikes have a chance to hit twice
erthu_chrwa_abacus_bead_name;Abacus Bead
erthu_chrwa_alchemists_mark_desc;Once charged, use to produce a random orb
erthu_chrwa_alchemists_mark_name;Alchemist's Mark
erthu_chrwa_anarchists_brand_desc;For a cost, use to cause an explosion
erthu_chrwa_anarchists_brand_name;Anarchist's Brand
erthu_chrwa_anarchists_mark_desc;Once charged, use to cause an explosion
erthu_chrwa_anarchists_mark_name;Anarchist's Mark
erthu_chrwa_ascetics_mark_desc;Once charged, use to improve a random characteristic
erthu_chrwa_ascetics_mark_name;Ascetic's Mark
erthu_chrwa_assassins_mark_desc;Once charged, use to destroy a nearby enemy
erthu_chrwa_assassins_mark_name;Assassins Mark
erthu_chrwa_avenging_angle_desc;When hit by a regular enemy, the enemy will be destroyed
erthu_chrwa_avenging_angle_name;Avenging Angle
erthu_chrwa_bamboo_firecracker_desc;Your projectile strikes cause an explosion
erthu_chrwa_bamboo_firecracker_desc_override_magicwand;Your orbs cause an explosion
erthu_chrwa_bamboo_firecracker_name;Bamboo Firecracker
erthu_chrwa_bargain_signed_in_blood_desc;When hit, gain five coins
erthu_chrwa_bargain_signed_in_blood_name;Bargain Signed in Blood
erthu_chrwa_bat_ear_desc;Area maps are fully revealed.
erthu_chrwa_bat_ear_name;Bat Ear
erthu_chrwa_bee_stinger_desc;Slightly increases melee damage, but decreases the size of your melee weapon
erthu_chrwa_bee_stinger_desc_override_magicwand;Increases orb damage, but decreases the distance your orbs travel
erthu_chrwa_bee_stinger_name;Bee Stinger
erthu_chrwa_befouling_sludge_desc;Melee strikes cause additional damage after a short delay
erthu_chrwa_befouling_sludge_desc_override_magicwand;Your book sweep attack causes additional damage after a short delay
erthu_chrwa_befouling_sludge_name;Befouling Sludge
erthu_chrwa_beloved_keepsake_desc;Gain one protection
erthu_chrwa_beloved_keepsake_name;Beloved Keepsake
erthu_chrwa_berserkers_mark_desc;Once charged, use to temporarily increase critical chance
erthu_chrwa_berserkers_mark_name;Berserker's Mark
erthu_chrwa_bitter_tears_desc;When health is low, weapon damage is significantly increased
erthu_chrwa_bitter_tears_name;Bitter Tears
erthu_chrwa_black_box_desc;Gain a random relic
erthu_chrwa_black_box_name;Black Box
erthu_chrwa_bloodshot_eye_desc;Moderately increases weapon damage, but decreases your number of hearts
erthu_chrwa_bloodshot_eye_name;Bloodshot Eye
erthu_chrwa_bloody_fingerprint_desc;Slightly increases ranged critical chance
erthu_chrwa_bloody_fingerprint_desc_override_magicwand;Slightly increases spell critical chance
erthu_chrwa_bloody_fingerprint_name;Bloody Fingerprint
erthu_chrwa_blood_sausage_desc;Weapon damage is temporarily increased after destroying an enemy
erthu_chrwa_blood_sausage_name;Blood Sausage
erthu_chrwa_blunted_knucklebone_desc;Melee strikes have a chance to increase your number of coins
erthu_chrwa_blunted_knucklebone_name;Blunted Knucklebone
erthu_chrwa_bone_dice_desc;Improves a random characteristic
erthu_chrwa_bone_dice_name;Bone Dice
erthu_chrwa_bottled_lightning_desc;Projectiles slowly increase in size and damage, but reset after each strike
erthu_chrwa_bottled_lightning_desc_override_magicwand;Orbs start smaller but grow larger the longer you hold them charged with your wand
erthu_chrwa_bottled_lightning_name;Bottled Lightning
erthu_chrwa_broken_shackle_desc;Pots have a small chance of containing keys
erthu_chrwa_broken_shackle_name;Broken Shackle
erthu_chrwa_broken_shield_desc;Massively increases critical chance, but incoming damage is sometimes increased
erthu_chrwa_broken_shield_name;Broken Shield
erthu_chrwa_caged_match_desc;Weapon damage is increased while in a sealed room
erthu_chrwa_caged_match_name;Caged Match
erthu_chrwa_calcified_pustule_desc;Ranged strikes produce a poisonous cloud, but projectiles are slower
erthu_chrwa_calcified_pustule_name;Calcified Pustule
erthu_chrwa_catgut_mesh_desc;Deflected enemy projectiles do more damage
erthu_chrwa_catgut_mesh_name;Catgut Mesh
erthu_chrwa_charm_of_a_first_love_desc;Gain one heart
erthu_chrwa_charm_of_a_first_love_name;Charm of a First Love
erthu_chrwa_chicken_dinner_desc;Bandit Boxes are guaranteed to provide a good reward after several attempts
erthu_chrwa_chicken_dinner_name;Chicken Dinner
erthu_chrwa_cinched_belt_desc;When health is low, eating food provides more health than usual
erthu_chrwa_cinched_belt_name;Cinched Belt
erthu_chrwa_clock_key_desc;When hit, time is temporarily slowed
erthu_chrwa_clock_key_name;Clock Key
erthu_chrwa_covetous_heart_desc;Gain one golden protection
erthu_chrwa_covetous_heart_name;Covetous Heart
erthu_chrwa_cracked_powderhorn_desc;Pots and crates explode when broken
erthu_chrwa_cracked_powderhorn_name;Cracked Powderhorn
erthu_chrwa_customer_card_desc;Moderately increases merchant discount
erthu_chrwa_customer_card_name;Customer Card
erthu_chrwa_dead_weight_desc;Your projectile does significantly more damage, but is larger and slower
erthu_chrwa_dead_weight_desc_override_magicwand;Your orbs do significantly more damage, but are larger and travel slower
erthu_chrwa_dead_weight_name;Dead Weight
erthu_chrwa_deafening_bell_desc;When hit, nearby enemies are knocked back
erthu_chrwa_deafening_bell_name;Deafening Bell
erthu_chrwa_dis_armor_desc;You are immune to damage from traps and spikes.
erthu_chrwa_dis_armor_name;Dis Armor
erthu_chrwa_door_chime_desc;Summon a wisp when entering a room for the first time
erthu_chrwa_door_chime_name;Door Chime
erthu_chrwa_dowry_chest_desc;Gain two hearts but you fail to collect coins half of the time.
erthu_chrwa_dowry_chest_name;Dowry Chest
erthu_chrwa_dragon_lung_desc;When hit, nearby enemies are set on fire
erthu_chrwa_dragon_lung_name;Dragon Lung
erthu_chrwa_dueling_glove_desc;Significantly increases weapon damage against undamaged enemies
erthu_chrwa_dueling_glove_name;Dueling Gloves
erthu_chrwa_durian_husk_desc;Eating food will damage nearby enemies.
erthu_chrwa_durian_husk_name;Durian Husk
erthu_chrwa_embroidered_sleeve_desc;Gain a large amount of protection after destroying the next boss, but that boss's damage is doubled
erthu_chrwa_embroidered_sleeve_name;Embroidered Sleeve
erthu_chrwa_engagement_ring_desc;Sacrifice all hearts to gain twice that amount of protection
erthu_chrwa_engagement_ring_name;Engagement Ring
erthu_chrwa_estate_keys_desc;Gain ten keys
erthu_chrwa_estate_keys_name;Estate Keys
erthu_chrwa_exotic_spice_desc;Eating food has a chance to restore more health than usual
erthu_chrwa_exotic_spice_name;Exotic Spice
erthu_chrwa_foam_bat_desc;Initially decreases weapon damage, but destroying enemies will increase it past the original values, up to a limit
erthu_chrwa_foam_bat_name;Foam Bat
erthu_chrwa_forge_embers_desc;Weapon strikes have a chance to set enemies on fire
erthu_chrwa_forge_embers_name;Forge Embers
erthu_chrwa_fossilized_leech_desc;Marks charge more quickly
erthu_chrwa_fossilized_leech_name;Fossilized Leech
erthu_chrwa_four_leaf_clover_new_desc;Increases all attributes and maximizes luck.
erthu_chrwa_four_leaf_clover_new_name;Four Leaf Clover
erthu_chrwa_fragranced_letter_desc;Gain one protection after completing an area
erthu_chrwa_fragranced_letter_name;Fragranced Letter
erthu_chrwa_fungal_growth_desc;Projectiles emit damaging particles during flight.
erthu_chrwa_fungal_growth_name;Fungal Growth
erthu_chrwa_gamblers_mark_desc;Once charged, use to either gain one heart of health or lose a half-heart
erthu_chrwa_gamblers_mark_name;Gambler's Mark
erthu_chrwa_gaping_totem_desc;Significantly increases weapon damage, but each strike costs a coin
erthu_chrwa_gaping_totem_name;Gaping Totem
erthu_chrwa_glass_cannon_desc;Massively increases weapon damage, but your maximum number of hearts cannot exceed one
erthu_chrwa_glass_cannon_name;Glass Cannon
erthu_chrwa_glowing_spot_desc;Reduce bosses' health by 25% with your first weapon strike
erthu_chrwa_glowing_spot_name;Glowing Spot
erthu_chrwa_gluttons_mark_desc;Once charged, use to deal a small amount of damage to nearby enemies
erthu_chrwa_gluttons_mark_name;Glutton's Mark
erthu_chrwa_gnawed_off_paw_desc;When health is low, evasion is massively increased
erthu_chrwa_gnawed_off_paw_name;Gnawed-Off Paw
erthu_chrwa_gold_chime_desc;When hit, summon a wisp
erthu_chrwa_gold_chime_name;Gold Chime
erthu_chrwa_gold_tooth_desc;Slightly increases melee damage
erthu_chrwa_gold_tooth_desc_override_magicwand;Slightly increases incantation damage
erthu_chrwa_gold_tooth_name;Gold Tooth
erthu_chrwa_granite_pestle_desc;While under an orb's effects, weapon strikes cause an explosion
erthu_chrwa_granite_pestle_name;Granite Pestle
erthu_chrwa_grinning_totem_desc;Consumes half of your keys and coins, but increases luck accordingly
erthu_chrwa_grinning_totem_name;Grinning Totem
erthu_chrwa_gruesome_trophy_desc;Slightly increases melee critical chance
erthu_chrwa_gruesome_trophy_desc_override_magicwand;Slightly increases incantation critical chance
erthu_chrwa_gruesome_trophy_name;Gruesome Trophy
erthu_chrwa_halved_worm_desc;The next relic that can be picked up multiple times is applied twice
erthu_chrwa_halved_worm_name;Halved Worm
erthu_chrwa_hat_buckle_desc;Pots are more likely to contain coins
erthu_chrwa_hat_buckle_name;Hat Buckle
erthu_chrwa_healers_mark_desc;Once charged, use to gain a half-heart of health
erthu_chrwa_healers_mark_name;Healer's Mark
erthu_chrwa_heartstring_harp_desc;Gain a heart of health after completing an area
erthu_chrwa_heartstring_harp_name;Heartstring Harp
erthu_chrwa_heavy_yoke_desc;Doubles your number of hearts, but sets current health to half a heart
erthu_chrwa_heavy_yoke_name;Heavy Yoke
erthu_chrwa_holy_underwear_desc;Drastically increases weapon damage against aberrant enemies
erthu_chrwa_holy_underwear_name;Holy Underwear
erthu_chrwa_hummingbird_feather_desc;Projectiles are not affected by gravity
erthu_chrwa_hummingbird_feather_name;Hummingbird Feather
erthu_chrwa_impassioned_heart_desc;Sets enemies on fire when hit
erthu_chrwa_impassioned_heart_name;Impassioned Heart
erthu_chrwa_incentives_flyer_desc;Merchants provide health when you buy an item
erthu_chrwa_incentives_flyer_name;Incentives Flyer
erthu_chrwa_innocents_mark_desc;Once charged, use to summon a wisp
erthu_chrwa_innocents_mark_name;Innocent's Mark
erthu_chrwa_iron_stomach_desc;Gain some protection after eating food that restores more health than needed
erthu_chrwa_iron_stomach_name;Iron Stomach
erthu_chrwa_jade_turtleshell_desc;When hit, gain a brief period of invulnerability
erthu_chrwa_jade_turtleshell_name;Jade Turtleshell
erthu_chrwa_jail_keys_desc;Gain three keys
erthu_chrwa_jail_keys_name;Jail Key
erthu_chrwa_jousting_lance_desc;Critical strikes knock enemies back a great distance
erthu_chrwa_jousting_lance_name;Jousting Lance
erthu_chrwa_knights_mark_desc;Once charged, use to gain a period of invulnerability
erthu_chrwa_knights_mark_name;Knight's Mark
erthu_chrwa_lobster_bib_desc;Eating food will grant coins in addition to health
erthu_chrwa_lobster_bib_name;Lobster Bib
erthu_chrwa_lockpick_set_desc;Locks have a chance to open without consuming a key
erthu_chrwa_lockpick_set_name;Lockpick Set
erthu_chrwa_lost_lodestone_desc;Either melee or ranged damage slightly increases after completing an area
erthu_chrwa_lost_lodestone_name;Lost Lodestone
erthu_chrwa_lucky_horseshoe_desc;Subsequent areas will contain more golden chests
erthu_chrwa_lucky_horseshoe_name;Lucky Horseshoe
erthu_chrwa_magicians_mark_desc;Once charged, use to transform nearby relics
erthu_chrwa_magicians_mark_name;Magician's Mark
erthu_chrwa_magpie_wing_desc;Increases your luck and discount significantly but breakable objects no longer drop items
erthu_chrwa_magpie_wing_name;Magpie Wing
erthu_chrwa_merchants_mark_desc;Once charged, use to convert nearby relics to coins
erthu_chrwa_merchants_mark_name;Merchants Mark
erthu_chrwa_messengers_mark_desc;Once charged, use to dash
erthu_chrwa_messengers_mark_name;Messenger's Mark
erthu_chrwa_miners_mark_desc;Once charged, use to produce a line of damaging spikes
